"filename","title","description","feature","topic","role","level"
"./metadata.md","","","","","",""
"././help/TOC.md","","Learn how to define and manage offers, leverage real-time customer data, and deliver the right offers for customers at the right time.","","","",""
"./help/offer-decisioning-home.md","Offer Decisioning product documentation","","","Premium","",""
"./help/release-notes.md","Release notes","Learn about the new features and improvements for Offer Decisioning.","","","",""
"./help/documentation-updates.md","Documentation updates","Learn about the latest documentation updates for Offer Decisioning.","","","",""
"./help/get-started/starting-offer-decisioning.md","Get started with Offer Decisioning","Get started with the [!DNL Offer Decisioning] application service. Learn more about its architecture, offers and offer activites, as well as common use cases it allows you to perform.","","","",""
"./help/get-started/user-interface.md","User interface","Learn more about the Offer Library User Interface.","","","",""
"./help/get-started/glossary.md","Glossary","Glossary for Offers","","","",""
"./help/get-started/granting-access-to-offer-decisioning.md","Grant access to Offer Decisioning","Learn how to manage users' permissions for the Offers Decisioning service via Adobe Admin Console.","","","",""
"./help/offer-library/key-steps.md","Key steps to create an offer","Discover the key steps that are required to create an offer.","","","",""
"./help/offer-library/creating-placements.md","Create placements","Learn how to create placements in Adobe Experience Platform.","","","",""
"./help/offer-library/creating-decision-rules.md","Create decision rules","Learn how to create decision rules in Adobe Experience Platform.","","","",""
"./help/offer-library/creating-tags.md","Create tags","Learn how to create offers in Adobe Experience Platform.","","","",""
"./help/offer-library/creating-personalized-offers.md","Create personalized offers","Learn how to create personalized offers in Adobe Experience Platform.","","","",""
"./help/offer-library/creating-fallback-offers.md","Create fallback offers","Learn how to create offers in Adobe Experience Platform.","","","",""
"./help/offer-library/creating-collections.md","Create collections","Learn how to organize offers using collections.","","","",""
"./help/create-offer-activities.md","Create offer activities","Learn how to create offer activities","","","",""
"./help/api-reference/getting-started.md","Getting started","Learn how to start using the Offer Library API to perform key operations using the Offer Decisioning Engine.","","API guide","",""
"./help/api-reference/offers-api/placements/list.md","List placements","Placements are containers that are used to showcase your offers.","","developer guide","",""
"./help/api-reference/offers-api/placements/lookup.md","Look up a placement","Placements are containers that are used to showcase your offers.","","developer guide","",""
"./help/api-reference/offers-api/placements/create.md","Create a placement","Placements are containers that are used to showcase your offers.","","developer guide","",""
"./help/api-reference/offers-api/placements/update.md","update a placement","Placements are containers that are used to showcase your offers.","","API guide","",""
"./help/api-reference/offers-api/placements/delete.md","delete placements","Placements are containers that are used to showcase your offers.","","API guide","",""
"./help/api-reference/offers-api/decision-rules/list.md","List decision rules","Decision rules are constraints added to a personalized offer and applied to a profile to determine eligibility.","","API guide","",""
"./help/api-reference/offers-api/decision-rules/lookup.md","Look up a decision rule","Decision rules are constraints added to a personalized offer and applied to a profile to determine eligibility.","","API guide","",""
"./help/api-reference/offers-api/decision-rules/create.md","Create decision rules","Decision rules are constraints added to a personalized offer and applied to a profile to determine eligibility.","","API guide","",""
"./help/api-reference/offers-api/decision-rules/update.md","Update decision rules","Decision rules are constraints added to a personalized offer and applied to a profile to determine eligibility.","","API guide","",""
"./help/api-reference/offers-api/decision-rules/delete.md","Delete decision rules","Decision rules are constraints added to a personalized offer and applied to a profile to determine eligibility.","","API guide","",""
"./help/api-reference/offers-api/tags/list.md","List tags","Tags allow you to better organize and sort through your offers.","","API guide","",""
"./help/api-reference/offers-api/tags/lookup.md","Look up a tag","Tags allow you to better organize and sort through your offers.","","API guide","",""
"./help/api-reference/offers-api/tags/create.md","Create tags","Tags allow you to better organize and sort through your offers.","","API guide","",""
"./help/api-reference/offers-api/tags/update.md","Update tags","Tags allow you to better organize and sort through your offers.","","API guide","",""
"./help/api-reference/offers-api/tags/delete.md","Delete tags","Tags allow you to better organize and sort through your offers.","","API guide","",""
"./help/api-reference/offers-api/personalized-offers/list.md","List personalized offers","A personalized offer is a customizable marketing message based on eligibility rules and constraints.","","API guide","",""
"./help/api-reference/offers-api/personalized-offers/lookup.md","List personalized offers","A personalized offer is a customizable marketing message based on eligibility rules and constraints.","","API guide","",""
"./help/api-reference/offers-api/personalized-offers/create.md","Create personalized offers","A personalized offer is a customizable marketing message based on eligibility rules and constraints.","","API guide","",""
"./help/api-reference/offers-api/personalized-offers/update.md","Update personalized offers","A personalized offer is a customizable marketing message based on eligibility rules and constraints.","","API guide","",""
"./help/api-reference/offers-api/personalized-offers/delete.md","Delete personalized offers","A personalized offer is a customizable marketing message based on eligibility rules and constraints.","","API guide","",""
"./help/api-reference/offers-api/collections/list.md","List collections","Collections are subsets of offers based on predefined conditions defined by a marketer, such as category of the offer.","","API guide","",""
"./help/api-reference/offers-api/collections/lookup.md","Look up a collection","Collections are subsets of offers based on predefined conditions defined by a marketer, such as category of the offer.","","API guide","",""
"./help/api-reference/offers-api/collections/create.md","Create a collection","Collections are subsets of offers based on predefined conditions defined by a marketer, such as category of the offer.","","API guide","",""
